"id"	"ru_meaning"	"ru_meaning_raw"	"ru_meaning_lit"	"ru_notes"	"ru_cognate"
"35"	"(о золоте и т. д.) не обработанный; с не приданной формой; неотделанный"	"необразованный; неоформленный; необработанный"	""	""	""
"36"	"(виная) не сделанный допустимым"	"не сделанный допустимым"	""	""	""
"37"	"кто не совершал кражу; кто не совершал преступление"	"кто не совершал кражу; кто не совершал преступление; буквально не совершивший деяние"	"не совершивший деяние"	""	""
"38"	"кто не делал добрых дел"	""	""	""	""
"39"	"кто не делал ничего плохого; кто не делал грязных вещей; кто не совершал грехи"	""	""	""	""
"40"	"кто не делал добро; кто не делал заслуг"	""	""	""	""
"42"	"неблагодарность; отсутствие признательности"	"неблагодарность; неблагодарность; неблагодарность; букв. состояние незнания сделанного"	"не знание сделанного"	""	""
"43"	""	"неблагодарность; неблагодарность; неблагодарность; неблагодарность"	""	""	""
"46"	"неблагодарный; безразличный; непризнательный"	""	"не знающий что сделано"	"см. akataññu 2"	""
"47"	"знающий не сотворенное; кто знает не рожденное"	""	""	"см. akataññu 1"	""
"48"	"как что-то не сделанное; как что-то незавершённое"	"как незавершённое; как не сделанное"	""	""	""
"49"	"(о каком-либо действии) несделанностъ; невыполненность; несовершённость"	"факт неделания; досл. несделанное состояние"	"не-сделанность"	""	""
"50"	"не выполнение; не совершение"	"факт не совершенного; буквально ""не выполненное состояние"""	"не-сделанность"	""	""
"51"	"кто не делал зла; кто не сделал ничего плохого"	""	""	""	""
"52"	""	"не сделавший заслуги; не обретший духовное богатство"	""	""	""
"53"	""	"отсутствие заслуг; отсутствие духовного богатства; досл. состояние не совершенной заслуги"	""	""	""
"54"	"не совершался ранее; ранее не выполнялся"	""	""	""	""
"55"	"кто не укрылся от страха; кто не защитился от ужаса; (комм) кто не защищал напуганных"	""	""	""	""
"56"	""	"неиспользованный участок земли"	""	""	""
"58"	""	"непрактикованный; не натренированный; необученный"	""	""	""
"59"	"кто не совершал жестоких поступков; не совершивший жестокость"	""	""	""	""
"60"	""	"кто не восстановил дружественные отношения с общиной; досл. у кого нет друга"	""	""	""
"61"	"неблагодарность; не признательность"	"неблагодарность; непризнательность; невнимательность к сделанному; букв. состояние незнания того, что сделано"	"игнорирование сделанного"	""	""
"62"	""	"неблагодарный; нечувствительный; недооценивающий; досл. не знающий, что сделано"	""	""	""
"63"	""	"неквалифицированный, неопытный, нетренированный, неделикатный, досл. не сделанный руками"	""	""	""
"64"	"кто не участвует в Упосатхе"	""	""	""	""
"65"	""	"неопытный; не завершивший обучение; досл. не законченное обучение"	""	""	""
"67"	"не желающий делать; не стремящийся совершать"	"не желающий делать"	""	""	""
"68"	"(о группе) вы сделали; вы исполнили"	"вы все сделали; вы все сотворили"	""	""	""
"69"	"не хвастающийся (о)"	""	""	""	""
"70"	"(о каком-либо действии) не сделав; не исполнив; не выполнив; не совершив; не проделав"	"не сделав; не исполнив"	""	""	""
"71"	"(о создании чего-то) не сделав; не подготовив"	"не сделав"	""	""	""
"73"	""	"не сбитый с толку (о); без сомнений (о); досл. не спрашивающий как"	""	""	""
"74"	"свободный от сомнений; без замешательства (относительно)"	""	"не спрашивающий ""как?"""	""	""
"75"	""	"не сказанный; не упомянутый"	""	""	""
"76"	""	"факт неупоминания; факт несказанности; досл. несказанное состояние"	""	""	""
"78"	"свободный от грязи; без нечистот"	""	""	""	""
"79"	"класс божественных существ; непревзойденный; величайший"	""	"не самый молодой"	""	""
"80"	"высший; величайший; эпитет класса дэвов"	"высший; величайший; эпитет класса дэвов; буквально не самый младший"	"не самый младший"	""	""
"81"	"устремлённый к высшему миру богов"	"устремлённый к высшему миру дэвов"	""	""	""
"82"	"неприятный; нежелательный; отталкивающий"	""	""	""	""
"83"	""	"нежелательный по природе; неприятного характера; досл. нежеланная форма"	""	""	""
"85"	"неприятный; нежеланный; вызывающий отвращение"	"неприятный; нежеланный; вызывающий отвращение"	""	""	""
"89"	"приготовил; исполнил; устроил; сделал"	"приготовили; исполнили; устроили; сделали"	"побудил быть пригодным"	""	""
"90"	"недопустимый; неподходящий; несоответствующий"	""	""	""	""
"91"	"что-то неуместное; непозволительный предмет"	"что-то неуместное; непозволительный предмет; букв. не подходящий"	"не должен подходить"	""	""
"92"	"не сконструированный; бесформенный; не сфабрикованный"	""	""	""	""
"93"	"(виная) не сделанный дозволенным"	"(винаья) не сделанное дозволенным; буквально не сделанное подходящим"	"не сделанный подходящим"	""	""
"94"	"воспринимающий (что-то) как недопустимое"	"воспринимающий (что-то) как недопустимое"	""	""	""
"95"	""	"непоколебимость, устойчивость"	""	""	""
"96"	""	"непоколебимое знание (о)"	""	""	""
"97"	"сотрясался; дрожал; колебался; был обеспокоен"	""	""	""	""
"99"	"непоколебимый; не дрогнувший; неприступный"	"непоколебимый; неизменный; неоспоримый; буквально не подлежит колебаниям"	"не к колебанию"	""	""
"100"	""	"в значении несокрушимый"	""	""	""
"101"	"не дрожащий; не трепещущий; не колеблющийся"	"не дрожащий; не трепещущий; не колеблющийся"	""	""	""
"102"	"не работа (для); неподходящая деятельность (для); преступное деяние (для)"	"неподходящая работа (для); неподходящая деятельность (для); преступное деяние (для)"	""	""	""
"103"	"(грам) непереходный; не требующий дополнения в винительном падеже"	"(грамм) непереходный; не требует дополнения; буквально никакого объекта"	"не обладающий деланием"	""	""
"104"	"негодный для работы; никуда не годный"	"негодный для работы; непригодный; никуда не годный; букв. нерабочий"	"не относящийся к работе"	""	""
"105"	"менее податливый; менее гибкий; менее пластичный"	"менее податливый; менее гибкий; менее пластичный"	"более не относящийся к работе"	""	""
"109"	"безупречный; не опороченный; чистый; не запятнанный"	""	""	""	""
"110"	"чьё поведение не запятнано; неопороченный"	"чьё поведение не запятнано; не пятнист; неопорочен; непротиворечив; букв. не создаёт пятен"	"не создаёт пятен"	""	""
"111"	"не делаемый; не совершаемый; не подвергающийся действию"	"не делаемый; не производимый"	""	""	""
"112"	"не-делание; отсутствие действия; не совершение; воздержание (от)"	""	"не-делание"	""	""
"113"	"не должен быть сделанным; не подлежит выполнению"	""	"не к совершению"	""	""
"114"	"не может быть сделанным (кем-то); невыполнимый"	"неподлежащий выполнению"	"не к исполнению"	""	""
"115"	"что-то, чему не следует быть сделанным; неправильное действие; что-то, от чего следует воздержаться"	"что-то, что не должно быть сделано; неправильное действие; досл. то, что не должно быть сделано"	"не к совершению"	""	""
"116"	"мы сделали; мы создали"	"мы сделали; мы творили"	""	""	""
"117"	"(о каком-либо действии); выполнил; исполнил; совершил; проделал"	"делал; практиковал; выполнял"	""	""	""
"118"	"не сделав; не построив; не исполнив; не совершив"	""	""	""	""
"121"	"сделал бы; совершил бы; создал бы; подготовил бы"	"сделал бы; создал бы"	""	""	""
"122"	"не делая; не осуществляющий"	""	""	""	""
"127"	""	"плохой; несчастливый; неблагоприятный; порочный"	""	""	""
"128"	""	"нечленораздельный; неэлоквентный; досл. не создающий хорошую речь"	""	""	""
"129"	"неуместный; неподходящий; непригодный"	"неуместный; неподходящий; непригодный"	""	""	""
"130"	""	"нездоровый; непригодный; в плохом настроении; ненадежный"	""	""	""
"131"	""	"больной; нездоровый; досл. неспособный"	""	""	""
"134"	""	"отсутствие дефектов; совершенство; досл. не загрязненное состояние"	""	""	""
"135"	"без проблем"	""	""	""	""
"136"	"кто получает без усилий; приобретающий без труда; (комм) кто получает в изобилии"	""	""	""	""
"138"	""	"без двери; не оснащенный дверью"	""	""	""
"140"	"(о каком-либо действии) они сделали; они исполнили; они совершили"	""	""	""	""
"141"	"(о создании чего-то) они сделали; они создали; они подготовили"	""	""	""	""
"142"	"сделал; выполнил; совершил; создал"	"сделал; совершил; выполнил"	""	""	""
"143"	""	"гладкий; безупречный"	""	""	""
"144"	"часто посещаемый превосходными людьми; не следуемый недостойными людьми"	"известное праведным людям; не следуемое никчемными людьми"	""	""	""
"145"	"без желания; без необходимости"	"без желания; без необходимости"	""	""	""
"146"	"нежелающий; вынужденный; невольный; без выбора в этом вопросе"	"нежелательный; неохотный; непроизвольный; без выбора в этом вопросе"	""	""	""
"147"	"не желающий; делающий (что-л.) с неохотой"	""	""	""	""
"148"	"не желающий чувственных удовольствий"	"тот, кто не желает чувственных удовольствий"	""	""	""
"149"	"независимо от желания; вынужденно; без выбора в этом вопросе"	""	""	""	""
"151"	""	"не возрождающийся; досл. не приближающийся к телу"	""	""	""
"152"	"(грам) буква ""а""; первая буква алфавита; гортанная гласная"	"буква ""а""; первая буква алфавита; гортанная гласная"	""	""	""
"153"	"не деятель; не исполнитель; не нарушитель; невиновный"	""	"не обладающий деланием"	""	""
"154"	"(в дискуссии) контраргумент; ответный довод"	""	"не побуждение делать"	""	""
"155"	"не-причина"	"то, что не является причиной; досл. не вызывающий делать"	"не побуждение делать"	""	""
"156"	"состояние не бытия причиной (чего-либо); не-причинность"	"факт отсутствия причины; неверность причинности; недетерминированность; досл. не вызывающий состояние"	"состояние не побуждения делать"	""	""
"157"	"(грам) оканчивающийся на букву а"	"(грам.) оканчивающийся на букву а"	""	""	""
"158"	"(грам) а суффикс; знак спряжения глаголов 1ой группы"	"(грамм) суффикс; знак спряжения глаголов 1-й группы bhū группы"	""	""	""
"159"	"сделал через; заставил сделать (кого-то) "	"управлял; осуществлял; буквально: заставил делать"	"побудил сделать"	""	""
"160"	"(грам) вставка буквы ""а""; прибавление ""а"" для глаголов прошедшего времени"	"(грам.) вставка буквы a; аугмент для аористических глаголов"	""	""	""
"161"	"не заставленный делать; не побуждённый делать (кем-либо)"	""	""	""	""
"162"	"несделанный ранее; прежде невыполненный"	""	"не побужденный к выполнению ранее"	""	""
"163"	"не выполнимый; не может быть сделан; невозможно сделать"	""	"не к совершению"	""	""
"164"	"не заставив сделать; не побудив сделать"	""	""	""	""
"165"	"неподходящее время; неудобный период; не время (для)"	""	""	""	""
"166"	"неподходящий сезон (для); не сезон (для)"	"неподходящий сезон для; не сезон для"	""	""	""
"167"	"несезонный; неподходящий по времени года; несвоевременный"	""	"в неверное время"	""	""
"168"	"гуляющий (в деревне) в не положенное время; посещающий (деревню) в неподобающий час"	"гулять (в деревне) не в положенное время"	""	""	""
"169"	"(виная) внесезонная ткань для одеяния; неожиданная одежда"	""	""	""	""
"170"	""	"правило о распределении несезонной материи для рясы"	""	""	""
"171"	""	"воспринимающий (что-то) как несвоевременную ткань для робы"	""	""	""
"172"	"цветение вне сезона; цветок не соответствующий времени года"	""	""	""	""
"173"	"дождь не по сезону; несвоевременный ливень"	"дождь не по сезону; несвоевременный ливень"	""	""	""
"175"	"кто говорит в неподходящее время"	""	""	""	""
"176"	"незамедлительный; безотлагательный; (комм) дающий немедленный результат"	""	"не связаный со временем"	"см. akālika 2"	""
"177"	"вневременной; не ограниченный определеным временем"	""	"не связаный со временем"	"см. akālika 1"	""
"179"	"в неподходящий момент; в неподходящее время; в неуместное время"	""	""	""	""
"180"	"сейчас не время; сейчас не подходящий момент"	"сейчас не время"	""	""	""
"181"	"(о каком-либо действии) сделал; выполнил; совершил"	""	""	""	""
"182"	"(о создании чего-то) сделал; подготовил"	""	""	""	""
"184"	"(о каком-либо действии) я сделал; я исполнил; я совершил"	""	""	""	""
"185"	"(о создании чего-то) я сделал; я подготовил"	""	""	""	""
"186"	"(то что) не должно быть сделано; не следует совершать"	""	"не к совершению"	""	""
"187"	"делающий то, чего не следует; поступающий неправильно"	"делающий то, чего не следует; поступающий неправильно"	""	""	""
"188"	""	"не исполняющий свой долг; не выполняющий обязанности"	""	""	""
"189"	"не трудный; без проблем; легко получаемый"	""	""	""	""
"190"	"получающий без проблем"	""	""	""	""
"191"	"без труда; легко; без затруднений"	"без труда; легко; без затруднений"	""	""	""
"192"	"без чего-либо; без обладания чем-либо; лишенный вещей; эпитет Архата"	""	""	""	""
"193"	""	"состояние ничего не имеющего"	""	""	""
"194"	""	"настаивающий на отсутствии собственности; привязанный ни к чему"	""	""	""
"195"	"ничего; ничто"	""	"не что-либо"	""	""
"197"	"объяснил (кому-то); дал ответ (кому-то)"	"объяснил (кому-то); дал ответ (кому-то); сделал известным (кому-то)"	"сделал известным"	""	""
"203"	"разбросал; бросил; швырнул"	"разбросал; бросил; швырнул"	""	""	""
"204"	"неделание; бездействие"	""	""	""	""
"206"	"следующий доктрины бездействия; придерживающийся учения неэффективности действия"	""	"доктрина не действия"	""	""
"209"	""	"этическая неэффективность действия; отсутствие морального значения в деятельности"	""	""	""
"210"	""	"не уставший; не сонный; бодрый"	""	""	""
"211"	""	"физически не уставший; физически не изношенный; досл. не уставшее тело"	""	""	""
"212"	""	"не утомленный умственно; не изношенный умственно; досл. не уставший разум"	""	""	""
"213"	""	"бдительный по природе; не изношенный; досл. не утомленный вид"	""	""	""
"216"	"активный; энергичный; неутомимый"	"активный; энергичный; неутомимый; буквально не уставший"	"не уставший"	""	""
"217"	"(комм) без мудрости"	"без мудрости"	""	""	""
"218"	"прямой; не кривой; (комм) без твердого стержня"	""	""	""	""
"219"	"растущий прямо вверх; не искривлённый; (комм) без твердой сердцевины"	""	""	""	""
"221"	"свободный от плохого поведения; без проступков"	""	"не сделанный плохо"	""	""
"224"	"растущий прямо вверх; не кривой; (комм) не вызывающий сомнений"	"растущий прямо вверх; не кривой; (в переносном смысле) не вызывающий сомнений"	""	""	""
"225"	"не выросший как курица"	"не выросший как курица"	""	"очевидно неправильное чтение akukkukajāta"	""
"229"	"нечего не боящийся; без повода для страха"	""	"из ниоткуда страх"	""	""
"230"	""	"не спровоцированный; не рассерженный; не взбешённый; не приведённый в ярость"	""	""	""
"231"	"непоколебимый; не дрогнувший"	""	""	""	""
"232"	"непреложный; непогрешимый; неоспоримый; безупречный"	""	"не к колебанию"	""	""
"233"	"непоколебимость; неприступность; эпитет Ниббаны"	"незыблемое состояние; неуязвимое состояние; эпитет Ниббаны; буквально незыблемый"	"не к колебанию"	""	""
"235"	"не трясущийся; не беспокоящийся; не волнующийся"	""	""	""	""
"237"	"для не делающего"	""	""	""	""
"239"	"не делая; не выполняющий"	""	""	""	""
"240"	"не делая; не создавая; не совершающий"	""	""	""	""
"242"	""	"не сын хорошей семьи; нереспектабельный молодой человек"	""	""	""
"243"	"неумелый; неискусный; неопытный"	""	""	""	""
"244"	"не благие поступки; неумелые деяния; то, что является бесполезным"	"неблагие поступки; неумелые деяния; то, что является неполезным"	""	""	""
"245"	"пусть будет; о, как хотелось бы!; пожалуйста, позволите!"	"о, пусть!; пожалуйста, дай!"	""	""	""
"246"	"нездоровый; не благой; бесполезный"	""	""	""	""
"247"	""	"неблагой поступок; неумелое деяние"	""	""	""
"248"	""	"ход неблагого действия; вид бесполезного поступка"	""	""	""
"249"	"плохое качество; неблагоприятное состояние; неумелое качество"	"плохое качество; неблагоприятное состояние; неумелое качество"	""	""	""
"250"	"отказ от дурных качеств; отречение от неумелых состояний"	"отказ от дурных качеств; отказ от неумелых состояний"	""	""	""
"252"	""	"неловкое состояние"	""	""	""
"253"	"плохой"	"плохой; букв. на стороне неспособного"	"на стороне неумелого"	""	""
"257"	"корень зла; корень вреда"	"корень зла; корень неблагого"	""	""	""
"259"	"груда нездорового; куча вредного; эпитет пяти помех"	"груда нездорового; куча вредного"	""	""	""
"262"	""	"неумелое намерение; неблагой умысел"	""	""	""
"263"	"считающийся неправильным; считающийся неблагоприятным"	"то, что считается неправильным; то, что считается неблагоприятным"	""	""	""
"264"	"неумелое восприятие"	"неспособное восприятие"	""	""	""
"268"	""	"из-за неблаговидного поступка"	""	""	""
"269"	"нездоровое мышление; не благая мысль; неумелое мышление"	""	""	""	""
"271"	""	"результат плохих действий; плод неблагих поступков"	""	""	""
"274"	"связанный с вредным; имеющий отношение к неумелому"	"связанный с неблагим; имеющий отношение к неумелому"	""	""	""
"275"	"не ленивый; не вялый; активный; добросовестный"	"не ленивый; не вялый; активный; добросовестный"	""	""	""
"276"	"честный; прямой; заслуживающий доверия"	"честный; прямой; недобромысленный; заслуживающий доверия"	""	""	""
"277"	"тот кто честен; тот кто не обманывает; тот кто прямой"	""	""	""	""
"278"	"не скрипучий; не грохочущий; не шумящий; тихий"	"не скрипучий; не грохочущий; не шумящий; тихий; гладкий"	""	""	""
"283"	"не вероломный; не лживый; не обманывающий; не фальшивый; не коррумпированный; честный"	""	""	""	""
"284"	"несовершенный; неполный; не абсолютный"	"несовершенный; неполный; не тотальный"	""	""	""
"285"	"несовершенный; неполный; не искусный"	""	""	""	""
"287"	""	"неучаствующий в шумных дебатах и благоприятных церемониях"	""	""	""
"289"	"спокойный; в мире; не раздражительный"	"спокойный; в мире; не раздражительный; буквально без гнева"	"без гнева"	""	""
"290"	""	"безмятежный; непоколебимый; неподвижный; досл. отсутствие дрожи"	""	""	""
"293"	"не обученный (в); не эксперт (в); не специалист (в); не мастер (в)"	""	""	""	""
"295"	"цветок венца; Калотропис гигантский"	"цветок венца; Calotropis gigantea"	""	""	""
"297"	"на который наступил; на который встал; попавший под ногу"	"наступивший на"	""	""	""
"299"	""	"каждое место, на которое ступали; каждое и каждое место, по которому прошли"	""	""	""
"304"	""	"нажимает; подавляет"	""	""	""
"305"	"наступает (на); идет (по)"	"наступает"	""	""	""
"309"	""	"наступающий; наступающий"	""	""	""
"310"	"наступил (на); ходил (по)"	"наступил на; ступил на"	""	""	""
"312"	""	"должен быть наступлен, следует наступить, досл. должен быть наступлен"	""	""	""
"314"	"наступив (на); надавив (на)"	"наступив (на); наступивший (на); надавив (на)"	""	""	""
"316"	"оскорблённый; обруганный; обиженный"	"оскорблённый словесно; обруганный"	""	""	""
"318"	"оскорбленный или почитаемый; обиженный или уважаемый"	"оскорбленный или почитаемый; оскорбленный или уважаемый"	""	""	""
"320"	"путаница; беспорядок; (комм) звук, чтобы внушить страх"	"сумятица; беспорядок; звук, чтобы внушить страх"	""	""	""
"321"	"бранил; оскорбил"	""	""	""	""
"322"	"свобода от гнева; отсутствие гнева; мягкость"	""	"не гнев"	""	""
"323"	"беззлобный; свободный от гнева; дружелюбный; хорошо расположенный"	""	""	""	""
"326"	"отсутствие гнева и раздражения; нет злобы и недовольства"	"отсутствие гнева и раздражения"	""	""	""
"327"	"не сердящийся и не раздражительный; не в ярости и не в расстройстве"	"не сердящийся и раздражительный; не в ярости и расстройстве"	""	""	""
"328"	"брань; оскорбление"	""	""	""	""
"329"	""	"тот, кто словесно оскорбляет; обидчик"	""	""	""
"331"	""	"имя брахмана; один из трех братьев; досл. оскорбитель Бхарадваджа"	""	""	""
"335"	"словесно оскорбляет; обижает"	""	""	""	""
"337"	"оскорбляющий; обижающий"	"словесно оскорбляющий; оскорбляющий"	""	""	""
"338"	""	"оскорбляющий, обвиняющий или беспокоящий; досл. создающий оскорбления, обвинения и вред"	""	""	""
"342"	""	"намеревающийся оскорбить; стремящийся унизить"	""	""	""
"345"	""	"женщина, которая оскорбляет; оскорбительница"	""	""	""
"346"	"должен быть оскорблён; может быть унижен"	"должно быть оскорблено; должно быть подвергнуто нападкам; буквально быть вызванным"	"к названию"	""	""
"349"	"являющийся оскорбляемым (кем-то); являющийся обиженным (кем-то)"	"быть оскорбляемым (кем-то)"	""	""	""
"351"	"с глазами; имеющий глаза"	"с глазами"	""	""	""
"352"	"глаз"	"глаз"	""	""	""
"353"	"ось; вал"	"ось; вал"	""	""	""
"354"	"игральные кости; азартные игры; игра в кости"	"игральные кости; азартные игры; игра в кости; с глазами; имеющий глаза"	"имеющий глаза"	""	""
"357"	""	"ключица"	""	""	""
"358"	"с поломанной осью; с разрушенным валом"	"с поломанной осью; с поломанным валом"	""	""	""
"359"	"цель; отметка; мишень"	""	""	""	""
"360"	""	"неподходящее время; неподходящий момент; неподходящий случай"	""	""	""
"362"	"метко стреляющий"	""	"пробивающий цель"	""	""
"367"	"не повреждённый; не пораненный"	"неповреждённый; невредимый; непоранённый"	""	""	""
"368"	"судья; магистрат"	"судья; магистрат; букв. видит глазами"	"видит глазами"	""	""
"369"	"игрок; пристрастившийся к азартным играм"	""	"испорченный игрой в кости"	""	""
"371"	""	"азартный игрок; досл. кто испорчен игрой в кости"	""	""	""
"372"	""	"уподобление игроков в кости"	""	""	""
"373"	""	"как игрок в азартные игры"	""	""	""
"374"	""	"нетерпение, нетерпимость; вспыльчивость"	""	""	""
"375"	"нетерпеливый; нетерпимый (к); неспособный вынести"	""	""	""	""
"378"	""	"неприемлемый; неподходящий; неприятный"	""	""	""
"382"	""	"неподвижный; непоколебимый; досл. не поддерживаемый"	""	""	""
"385"	"(грам) буква алфавита; слог; морфема"	"(грам) буква алфавита; слог; морфема; букв. неразрушимый"	"неразрушимый"	""	""
"386"	"слово; звук; слог"	""	"нерушимый"	""	""
"387"	"произношение; артикуляция; фонология"	"произношение; артикуляция; фонология"	""	"śikṣā (произношение) и nirukta (этимология) - это два vedāṅga."	""
"388"	"буква за буквой; слог за слогом"	"буква за буквой; слог за слогом"	""	""	""
"389"	""	"завершенность букв"	""	""	""
"390"	"фонология и этимология; артикуляция и объяснение"	"фонология и этимология; артикуляция и объяснение; лит. буква и разделение"	"буква и разделение"	"śikṣā (произношение) и nirukta (этимология) - это два vedāṅga."	""
"392"	"искусство чтения и письма"	"искусство чтения и письма; буквально сфера букв"	"сфера букв"	""	""
"393"	"(грам) встреча букв"	"встреча букв"	""	""	""
"394"	"(грам) обладающий буквами; с буквами"	"обладающий буквами; имеющий буквы; ср стороны обладание буквами"	"имеющий качество букв"	""	""
"395"	"(грам) буква алфавита; слог; морфема"	"буква алфавита; слог; морфема; буквально: неразрушимый"	"неразрушимый"	""	""
"396"	"(комм) игры на угадывание букв"	"игры на угадывание букв"	""	""	""
"398"	"смазывает ось; наносит смазку на ось"	"смазывает ось"	""	""	""
"399"	"объявленный; сказанный; провозглашенный"	""	""	""	""
"400"	"следует говорить (о); может быть объявленным"	""	"к произношению"	""	""
"401"	"оратор; говорящий; тот который говорит"	""	""	"akkhātāro - это муж. именит. множ."	""
"402"	"говорит; рассказывает; объясняет"	""	""	""	""
"403"	"объявление; название; указывание"	""	""	""	""
"404"	"рассказывание историй; декламация рассказов"	"рассказ историй; декламация рассказов"	""	""	""
"405"	"говоря; рассказывая; объявляя; заявляя"	""	""	""	""
"406"	"считается; называется"	""	""	""	""
"407"	"рассказ; история; повествование"	""	""	""	""
"409"	"утверждающий; заявляющий; говорящий; объявляющий"	""	""	""	""
"410"	"сказал; рассказал; заявил; объявил"	""	""	""	""
"412"	"глаз"	""	""	""	""
"413"	"относящийся к глазам"	"относящийся к глазам"	""	""	""
"414"	""	"глаз, ухо, нос и анус соответственно"	""	""	""
"415"	"кто удаляет глаза; кто лишает зрения"	"кто удаляет глаза; кто лишает зрения"	""	""	""
"417"	"глазница"	"глазные впадины"	"отверстие глаза"	""	""
"419"	""	"глазные выделения; глазная слизь; закисшие глаза"	""	""	""
"420"	"зрачок"	"зрачок глаза; букв. блеск в глазу"	"блеск в глазу"	""	""
"422"	"неоспоримый (в отношении); несомненный"	"неспорный относительно; неоспоримый относительно; буквально не брошенный"	"не брошен"	""	""
"423"	""	"азартные игры; женщины; досл. кости; женщина"	""	""	""
"430"	""	"небезопасный, ненадежный, опасный"	""	""	""
"431"	"может быть сказан; следует высказать; поддающийся выражению"	""	""	""	""
"432"	"осознающий что поддается выражению; воспринимающий то что можно назвать"	""	""	""	""
"441"	"не разбитый; не разломанный; целый"	""	""	""	""
"442"	"чьё поведение не сломлено; не имеющий дефектов в характере"	"чьё поведение не сломлено; чья манера поведения без изъянов; не имеющий дефектов в характере; буквально не делающий сломанное"	"не делающий сломанным"	""	""
"443"	""	"непрерывно; безупречно; полностью; совершенно"	""	""	""
"444"	""	"не нарушающий; не прерывающий; не преступающий"	""	""	""
"445"	""	"нетерпеливый; нетерпимый"	""	""	""
"448"	"не жевание; не кусание"	""	""	""	""
"451"	"не съеден"	"не съеденный"	""	""	""
"453"	"мягкий вкус; не щелочной"	""	""	""	""
"454"	"мягкий; открытый; сердечный (по отношению к)"	"мягкий (по отношению к); открытый (по отношению к); сердечный (по отношению к); буквально не бесплодный"	"не бесплодный"	""	""
"455"	""	"гладкий; (комм) свободный от бандитов"	""	""	""
